x, y, z
307.297699, -132.946564, 376.335876
283.603058, -157.450378, 361.755737
252.595413, -188.671753, 343.175568
213.786255, -216.167938, 322.290070
169.923660, -238.213745, 298.534363
125.496185, -260.045807, 273.389313
84.458015, -281.893127, 247.221375
46.106869, -296.458008, 226.931305
9.175572, -307.175568, 213.374039
-31.404581, -309.328247, 203.709930
-81.465652, -316.213745, 199.236649
-136.458008, -336.580139, 197.175568
-188.244278, -360.366425, 195.862595
-229.923660, -373.389313, 192.030533
-257.770996, -383.129761, 186.854965
-269.557251, -386.213745, 172.763351
-295.175568, -374.809174, 156.030533
-276.885498, -385.267181, 161.648849
-258.030548, -397.145050, 152.900757
-245.267181, -407.160309, 149.679382
-236.045807, -413.160309, 154.244278
-226.473282, -413.480927, 162.122131
-223.145035, -401.419861, 173.236649
-220.335876, -384.534363, 186.427475
-221.267181, -358.778625, 201.129776
-228.000000, -335.618317, 216.992371
-235.358780, -314.763367, 232.244278
-247.038162, -293.648865, 244.183212
-260.351135, -272.381683, 253.312973
-270.519073, -241.465652, 252.992371
-278.809174, -207.908401, 248.702286
-281.404572, -166.534348, 238.839691
-275.343506, -123.770996, 222.000000
-258.580139, -77.877861, 199.847336
-234.076340, -34.412212, 176.076340
-202.091599, 6.534351, 151.267181
-167.664124, 41.358780, 128.946564
-136.687027, 77.221375, 109.572517
-117.801529, 100.458015, 95.587784
-107.755722, 127.954201, 93.541985
-104.763359, 149.389313, 93.221375
-117.664124, 173.862595, 98.152672
-135.129776, 193.343506, 105.664124
-147.465652, 206.870224, 112.641220
-156.519089, 210.305344, 115.893127
-159.801529, 201.328247, 112.931297
-161.572525, 184.854965, 105.984734
-164.290070, 164.000000, 94.534348
-164.610687, 142.580154, 80.641220
-163.603058, 126.702293, 65.557251
-159.404587, 116.702293, 49.541985
-152.442749, 114.167938, 31.358778
-144.854965, 110.824425, 16.274809
-135.068695, 106.732826, 4.137404
-121.236641, 103.526718, -8.381680
-112.931297, 101.282440, -8.503817
-104.000000, 96.473282, -26.351145
-100.366409, 94.778625, -30.427481
-103.664124, 98.503815, -30.931297
-111.206108, 106.335876, -27.893129
-117.083969, 111.557251, -21.603054
-116.244278, 120.045799, -15.145039
-103.511452, 123.541985, -6.641222
-79.832062, 125.221375, -1.145038
-43.145039, 122.809158, 6.732824
-2.076336, 124.152672, 9.312977
45.175571, 126.351143, 10.778625
99.694656, 132.274811, 13.893129
162.916031, 135.725189, 15.480916
238.259537, 138.015274, 16.198473
321.129761, 137.435120, 16.213741
405.038177, 134.427475, 16.442749
488.259552, 129.374039, 18.534351
500.259552, 120.564888, 22.412214
500.259552, 108.625954, 28.885496
500.259552, 94.091606, 37.297710
500.259552, 76.442749, 46.366413
500.259552, 58.641220, 57.068703
500.259552, 40.412212, 67.206108
